lind	locus	bs_outl
222	L460	0
223	L461	0
224	L462	0
225	L463	0
226	L464	0
227	L465	0
228	L466	0
229	L467	0
230	L468	0
231	L469	1
232	L470	0
233	L471	1
234	L472	0
235	L473	0
236	L474	0
237	L476	0
238	L477	0
239	L478	0
240	L479	0
241	L480	0
242	L481	0
243	L482	0
244	L483	0
245	L484	1
246	L485	0
247	L486	0
248	L487	0
249	L488	0
250	L489	0
251	L490	0
252	L491	0
253	L492	0
254	L493	1
255	L494	0
256	L495	0
257	L496	0
258	L497	0
259	L498	0
260	L499	1
261	L500	0
262	L502	0
263	L503	0
264	L504	0
265	L505	0
266	L506	1
267	L507	0
268	L508	0
269	L509	0
270	L510	1
271	L511	1
272	L512	1
273	L513	0
274	L514	1
275	L515	0
276	L516	0
277	L517	0
278	L518	1
279	L519	0
280	L520	0
281	L521	0
282	L522	0
283	L523	0
284	L524	0
285	L525	0
286	L526	0
287	L527	0
288	L528	0
289	L529	0
290	L530	0
291	L531	0
292	L533	0
293	L534	0
294	L535	1
295	L536	0
296	L537	0
297	L538	0
298	L539	0
299	L540	0
300	L541	0
301	L542	0
302	L545	0
303	L546	0
304	L547	0
305	L548	0
306	L549	0
307	L550	0
308	L551	0
309	L552	0
310	L554	0
311	L556	0
312	L557	0
313	L558	0
314	L560	0
315	L561	0
316	L562	0
317	L563	0
318	L565	0
319	L566	0
320	L567	0
321	L568	0
322	L569	0
323	L570	0
324	L571	0
325	L572	0
326	L573	0
327	L574	0
328	L575	1
329	L576	0
330	L577	0
331	L578	0
332	L579	0
333	L581	0
334	L582	1
335	L584	0
336	L585	0
337	L586	1
338	L588	0
339	L591	0
340	L592	0
341	L593	0
342	L594	0
343	L595	0
344	L596	1
345	L597	0
346	L598	0
347	L599	0
348	L600	0
349	L601	0
350	L602	0
351	L604	0
352	L605	0
353	L606	0
354	L607	0
355	L608	0
356	L609	0
357	L610	0
358	L611	0
359	L612	1
360	L613	0
361	L614	0
362	L615	0
363	L616	0
364	L617	0
365	L618	0
366	L619	0
367	L620	0
368	L621	0
369	L622	0
370	L623	0
371	L624	1
372	L625	0
373	L626	0
374	L627	1
375	L628	0
376	L629	0
377	L630	0
378	L632	0
379	L633	1
380	L634	0
381	L635	0
382	L636	1
383	L637	1
384	L638	0
385	L639	0
386	L640	0
387	L641	0
388	L643	0
389	L644	0
390	L646	0
391	L647	0
392	L648	0
393	L649	0
394	L652	0
395	L653	0
396	L654	0
397	L655	0
398	L656	0
399	L657	0
400	L658	1
401	L659	0
402	L660	0
403	L661	1
404	L662	1
405	L663	0
406	L664	0
407	L665	0
408	L666	0
409	L668	0
410	L669	0
411	L670	0
412	L671	0
413	L672	0
414	L673	0
415	L674	0
416	L675	0
417	L676	0
418	L678	0
419	L679	0
420	L680	0
421	L681	0
422	L682	1
423	L684	0
424	L685	0
425	L687	0
426	L688	0
427	L689	0
428	L690	0
429	L691	0
430	L692	0
431	L693	0
432	L694	0
433	L695	0
434	L697	0
435	L699	0
436	L700	0
437	L701	0
438	L702	0
439	L703	0
440	L704	0
441	L706	0
442	L707	0
443	L708	1
444	L709	0
445	L710	0
446	L711	0
447	L713	0
448	L714	1
449	L715	0
450	L716	0
451	L717	0
452	L719	0
453	L720	0
454	L721	0
455	L722	0
456	L723	0
457	L724	0
458	L725	0
459	L726	0
460	L727	0
461	L728	1
462	L729	0
463	L730	0
464	L731	0
465	L732	0
466	L734	0
467	L735	1
468	L736	1
469	L737	0
470	L738	0
471	L739	0
472	L740	0
473	L741	0
474	L742	0
475	L743	0
476	L744	0
477	L745	0
478	L746	0
479	L747	0
480	L748	0
481	L749	0
482	L750	0
483	L751	0
484	L752	0
485	L753	0
486	L754	0
487	L755	0
488	L756	0
489	L757	0
490	L758	0
491	L759	0
492	L760	0
493	L761	0
494	L762	0
495	L763	0
496	L764	0
497	L765	1
498	L766	0
499	L767	0
500	L768	0
501	L769	1
502	L770	0
503	L771	0
504	L772	0
505	L773	0
506	L774	0
507	L775	0
508	L776	0
509	L777	0
510	L778	0
511	L779	1
512	L780	0
513	L781	0
514	L782	0
515	L783	1
516	L784	0
517	L785	0
518	L786	0
519	L787	0
520	L789	0
521	L790	0
522	L791	0
523	L792	1
524	L793	0
525	L794	0
526	L795	0
527	L796	0
528	L797	0
529	L798	0
530	L799	0
531	L800	0
532	L801	0
533	L802	0
534	L803	0
535	L804	0
536	L805	0
537	L806	1
538	L807	1
539	L808	0
540	L809	0
541	L810	0
542	L812	0
543	L813	0
544	L814	0
545	L815	1
546	L816	0
547	L817	0
548	L818	0
549	L819	0
550	L820	1
551	L821	0
552	L822	0
553	L823	0
554	L824	0
555	L825	0
556	L826	0
557	L827	0
558	L828	0
559	L829	0
560	L830	0
561	L831	0
562	L832	0
563	L833	0
564	L835	0
565	L836	0
566	L837	0
567	L838	0
568	L839	1
569	L840	1
570	L841	0
571	L842	0
572	L843	0
573	L844	0
574	L845	0
575	L846	0
576	L848	0
577	L850	0
578	L851	0
579	L853	0
580	L854	0
581	L855	0
582	L856	0
583	L857	1
584	L858	0
585	L859	0
586	L860	0
587	L861	0
588	L862	0
589	L863	0
590	L864	0
591	L865	0
592	L866	0
593	L868	0
594	L869	0
595	L870	0
596	L871	0
597	L872	0
598	L873	0
599	L874	0
600	L875	0
601	L876	0
602	L877	0
603	L879	0
604	L880	0
605	L881	0
606	L882	0
607	L883	0
608	L884	0
609	L885	0
610	L886	0
611	L888	0
612	L889	0
613	L890	0
614	L891	0
615	L892	0
616	L893	0
617	L895	0
618	L896	0
619	L897	0
620	L898	0
621	L899	0
622	L900	0
623	L901	0
624	L902	0
625	L903	0
626	L904	0
627	L905	0
628	L906	0
629	L907	0
630	L908	1
631	L909	0
632	L910	0
633	L911	0
634	L912	0
635	L913	1
636	L914	0
637	L915	0
638	L916	0
639	L917	0
640	L919	0
641	L920	1
642	L921	0
643	L922	0
644	L923	0
645	L924	0
646	L925	0
647	L926	1
648	L927	0
649	L929	0
650	L931	0
651	L932	0
652	L933	0
653	L934	0
654	L935	1
655	L936	0
656	L937	0
657	L938	1
658	L939	0
659	L940	0
660	L941	0
661	L943	0
662	L944	0
663	L945	0
664	L946	0
665	L947	0
666	L949	1
667	L950	0
668	L951	0
669	L952	0
670	L955	0
671	L956	1
672	L957	0
673	L958	0
674	L959	0
675	L960	0
676	L961	0
677	L962	0
678	L963	0
679	L964	0
680	L965	0
681	L966	0
682	L967	0
683	L968	0
684	L969	0
685	L970	0
686	L971	0
687	L972	0
688	L973	0
689	L974	0
690	L975	0
691	L976	0
692	L977	0
693	L978	0
694	L979	0
695	L980	0
696	L981	0
697	L982	0
698	L983	1
699	L984	0
700	L985	0
701	L986	0
702	L987	0
703	L988	0
704	L989	0
705	L990	0
706	L991	0
707	L992	1
708	L993	0
709	L995	0
710	L996	0
711	L997	1
712	L998	0
713	L999	0
714	L1000	0
715	L1001	0
716	L1002	1
717	L1003	0
718	L1004	0
719	L1005	0
720	L1006	0
721	L1007	0
722	L1008	0
723	L1009	0
724	L1010	0
725	L1011	0
726	L1012	0
727	L1013	0
728	L1015	0
729	L1016	0
730	L1018	0
731	L1020	0
732	L1021	0
733	L1022	0
734	L1023	0
735	L1024	0
736	L1025	0
737	L1027	1
738	L1028	0
739	L1029	0
740	L1030	0
741	L1031	0
742	L1032	0
743	L1034	0
744	L1035	0
745	L1036	0
746	L1037	0
747	L1038	0
748	L1039	0
749	L1041	1
750	L1042	0
751	L1043	1
752	L1044	0
753	L1045	0
754	L1046	0
755	L1047	0
756	L1048	0
757	L1049	1
758	L1050	0
759	L1051	0
760	L1052	0
761	L1053	0
762	L1054	0
763	L1055	0
764	L1056	0
765	L1057	0
766	L1058	0
767	L1059	0
768	L1060	0
769	L1062	0
770	L1063	0
771	L1064	0
772	L1066	0
773	L1067	0
774	L1068	1
775	L1069	0
776	L1070	0
777	L1071	0
778	L1072	1
779	L1073	0
780	L1074	0
781	L1075	0
782	L1077	0
783	L1078	0
784	L1079	0
785	L1080	0
786	L1081	0
787	L1082	1
788	L1083	1
789	L1084	0
790	L1085	0
791	L1087	0
792	L1088	0
793	L1089	0
794	L1090	0
795	L1091	0
796	L1092	0
797	L1093	0
798	L1095	0
799	L1096	0
800	L1097	0
801	L1098	0
802	L1099	0
803	L1100	0
804	L1101	0
805	L1102	0
806	L1103	0
807	L1104	0
808	L1105	0
809	L1107	0
810	L1108	0
811	L1109	1
812	L1110	1
813	L1111	0
814	L1112	0
815	L1113	0
816	L1114	0
817	L1115	0
818	L1116	1
819	L1117	0
820	L1119	0
821	L1120	0
822	L1121	0
823	L1122	0
824	L1123	0
825	L1124	0
826	L1125	0
827	L1126	0
828	L1127	0
829	L1128	0
830	L1130	0
831	L1131	0
832	L1132	0
833	L1133	0
834	L1134	0
835	L1135	0
836	L1136	0
837	L1137	0
838	L1138	0
839	L1139	0
840	L1140	0
841	L1141	0
842	L1143	0
843	L1144	0
844	L1145	0
845	L1146	0
846	L1147	0
847	L1148	0
848	L1149	1
849	L1150	0
850	L1151	0
851	L1152	0
852	L1153	0
853	L1154	0
854	L1156	0
855	L1157	0
856	L1158	0
857	L1159	1
858	L1160	0
859	L1161	0
860	L1162	0
861	L1163	0
862	L1164	0
863	L1166	0
864	L1167	0
865	L1168	0
866	L1169	0
867	L1170	0
868	L1171	0
869	L1172	0
870	L1173	0
871	L1174	0
872	L1175	0
873	L1176	0
874	L1177	0
875	L1178	0
876	L1179	0
877	L1180	0
878	L1181	0
879	L1182	0
880	L1183	0
881	L1184	0
882	L1185	0
883	L1186	0
884	L1187	0
885	L1188	0
886	L1189	0
887	L1190	0
888	L1191	0
889	L1192	0
890	L1193	0
891	L1194	0
892	L1195	0
893	L1196	0
894	L1197	0
895	L1199	0
896	L1200	0
897	L1201	0
898	L1203	0
899	L1204	0
900	L1205	0
901	L1207	0
902	L1208	0
903	L1209	0
904	L1210	1
905	L1211	0
906	L1212	0
907	L1213	1
908	L1214	0
909	L1215	0
910	L1216	0
911	L1217	0
912	L1218	0
913	L1219	0
914	L1220	0
915	L1221	0
916	L1222	0
917	L1223	0
918	L1225	0
919	L1226	0
920	L1227	0
921	L1228	0
922	L1229	0
923	L1230	0
924	L1231	0
925	L1232	0
926	L1233	0
927	L1234	0
928	L1235	0
929	L1236	0
930	L1237	0
931	L1238	0
932	L1240	1
933	L1241	0
934	L1242	0
935	L1243	0
936	L1244	0
937	L1245	0
938	L1246	0
939	L1247	0
940	L1248	0
941	L1249	1
942	L1250	0
943	L1251	0
944	L1252	0
945	L1253	0
946	L1254	0
947	L1255	0
948	L1256	0
949	L1257	0
950	L1258	0
951	L1259	1
952	L1260	0
953	L1261	0
954	L1262	0
955	L1263	0
956	L1264	0
957	L1265	0
958	L1266	0
959	L1267	0
960	L1268	0
961	L1270	0
962	L1271	0
963	L1272	0
964	L1274	0
965	L1275	0
966	L1276	0
967	L1277	0
968	L1278	0
969	L1279	0
970	L1280	0
971	L1281	0
972	L1282	0
973	L1283	0
974	L1284	0
975	L1285	0
976	L1286	0
977	L1287	0
978	L1288	0
979	L1289	0
980	L1290	0
981	L1291	0
982	L1292	0
983	L1293	0
984	L1294	0
985	L1296	0
986	L1297	0
987	L1299	0
988	L1300	0
989	L1301	0
990	L1302	0
991	L1303	0
992	L1304	0
993	L1305	0
994	L1306	0
995	L1307	0
996	L1308	0
997	L1309	0
998	L1311	0
999	L1312	0
1000	L1313	0
1001	L1315	0
1002	L1316	0
1003	L1317	0
1004	L1318	0
1005	L1320	0
1006	L1321	0
1007	L1322	0
1008	L1323	0
1009	L1324	0
1010	L1325	1
1011	L1326	0
1012	L1327	0
1013	L1328	0
1014	L1329	0
1015	L1330	0
1016	L1333	0
1017	L1334	0
1018	L1335	0
1019	L1336	0
1020	L1337	1
1021	L1338	0
1022	L1339	0
1023	L1341	0
1024	L1343	0
1025	L1344	0
1026	L1345	0
1027	L1346	0
1028	L1347	0
1029	L1348	0
1030	L1350	0
1031	L1352	0
1032	L1353	0
1033	L1354	0
1034	L1355	0
1035	L1356	0
1036	L1357	0
1037	L1358	0
1038	L1359	0
1039	L1360	0
1040	L1361	0
1041	L1362	0
1042	L1364	0
1043	L1365	0
1044	L1366	0
1045	L1367	0
1046	L1369	0
1047	L1370	0
1048	L1371	0
1049	L1372	0
1050	L1373	0
1051	L1375	0
1052	L1376	0
1053	L1377	0
1054	L1379	0
1055	L1380	0
1056	L1382	0
1057	L1383	0
1058	L1384	0
1059	L1385	0
1060	L1386	0
1061	L1387	0
1062	L1388	0
1063	L1389	0
1064	L1390	0
1065	L1391	0
1066	L1392	0
1067	L1393	0
1068	L1394	0
1069	L1395	0
1070	L1396	0
1071	L1397	0
1072	L1398	1
1073	L1399	0
1074	L1402	0
1075	L1403	0
1076	L1404	0
1077	L1405	0
1078	L1406	0
1079	L1408	0
1080	L1409	0
1081	L1410	0
1082	L1411	0
1083	L1412	0
1084	L1413	0
1085	L1414	0
1086	L1415	0
1087	L1416	0
1088	L1417	0
1089	L1418	0
1090	L1419	0
1091	L1421	0
1092	L1423	0
1093	L1424	0
1094	L1425	0
1095	L1426	0
1096	L1427	0
1097	L1429	0
1098	L1430	0
1099	L1431	1
1100	L1433	0
1101	L1434	0
1102	L1435	0
1103	L1436	0
1104	L1438	0
1105	L1440	0
1106	L1441	0
1107	L1443	0
1108	L1444	0
1109	L1445	0
1110	L1446	0
1111	L1447	0
1112	L1448	0
1113	L1449	0
1114	L1450	0
1115	L1451	0
1116	L1452	0
1117	L1453	0
1118	L1454	1
1119	L1457	0
1120	L1459	0
1121	L1460	0
1122	L1462	0
1123	L1463	0
1124	L1464	0
1125	L1465	0
1126	L1466	0
1127	L1468	0
1128	L1470	0
1129	L1471	0
1130	L1473	0
1131	L1474	0
1132	L1475	0
1133	L1476	0
1134	L1477	1
1135	L1478	0
1136	L1479	0
1137	L1481	0
1138	L1482	0
1139	L1483	0
1140	L1484	0
1141	L1485	0
1142	L1486	0
1143	L1487	0
1144	L1488	0
1145	L1489	0
1146	L1490	0
1147	L1491	0
1148	L1492	0
1149	L1493	0
1150	L1494	0
1151	L1495	0
1152	L1496	0
1153	L1497	0
1154	L1499	0
1155	L1500	0
1156	L1501	0
1157	L1502	0
1158	L1503	0
1159	L1504	0
1160	L1505	0
1161	L1506	0
1162	L1507	0
1163	L1508	0
1164	L1509	0
1165	L1510	0
1166	L1511	0
1167	L1512	0
1168	L1514	0
1169	L1515	0
1170	L1516	0
1171	L1517	0
1172	L1518	0
1173	L1520	0
1174	L1522	0
1175	L1524	0
1176	L1525	0
1177	L1526	0
1178	L1527	1
1179	L1528	0
1180	L1529	0
1181	L1530	0
1182	L1532	0
1183	L1533	0
1184	L1534	0
1185	L1535	0
1186	L1537	0
1187	L1539	1
1188	L1540	0
1189	L1541	0
1190	L1542	0
1191	L1543	0
1192	L1544	0
1193	L1546	0
1194	L1547	0
1195	L1548	0
1196	L1549	0
1197	L1550	0
1198	L1551	0
1199	L1552	0
1200	L1554	0
1201	L1555	0
1202	L1557	0
1203	L1558	1
1204	L1559	0
1205	L1560	0
1206	L1561	0
1207	L1562	0
1208	L1563	0
1209	L1564	0
1210	L1565	0
1211	L1566	0
1212	L1567	0
1213	L1568	0
1214	L1569	0
1215	L1570	1
1216	L1571	0
1217	L1572	0
1218	L1574	0
1219	L1575	0
1220	L1576	0
1221	L1577	0
1222	L1578	1
1223	L1579	0
1224	L1580	0
1225	L1581	0
1226	L1582	0
1227	L1585	1
1228	L1586	0
1229	L1587	0
1230	L1588	0
1231	L1589	0
1232	L1591	0
1233	L1592	0
1234	L1593	0
1235	L1594	1
1236	L1595	0
1237	L1596	0
1238	L1597	0
1239	L1598	0
1240	L1599	0
1241	L1600	0
1242	L1601	0
1243	L1602	0
1244	L1603	0
1245	L1604	1
1246	L1605	0
1247	L1606	0
1248	L1607	0
1249	L1608	0
1250	L1609	0
1251	L1611	1
1252	L1612	0
1253	L1613	0
1254	L1614	0
1255	L1615	0
1256	L1616	0
1257	L1617	1
1258	L1618	0
1259	L1619	0
1260	L1621	0
1261	L1622	1
1262	L1623	0
1263	L1624	0
1264	L1625	0
1265	L1626	0
1266	L1627	0
1267	L1628	0
1268	L1629	0
1269	L1630	0
1270	L1631	0
1271	L1632	0
1272	L1633	0
1273	L1634	0
1274	L1635	0
1275	L1636	0
1276	L1637	1
1277	L1638	0
1278	L1639	0
1279	L1640	0
1280	L1641	0
1281	L1642	0
1282	L1643	0
1283	L1644	0
1284	L1645	0
1285	L1646	0
1286	L1647	0
1287	L1649	0
1288	L1650	0
1289	L1651	0
1290	L1652	0
1291	L1653	0
1292	L1654	0
1293	L1655	0
1294	L1656	0
1295	L1657	0
1296	L1659	0
1297	L1660	0
1298	L1662	0
1299	L1663	0
1300	L1665	0
1301	L1666	1
1302	L1667	0
1303	L1668	1
1304	L1669	0
1305	L1670	0
1306	L1671	0
1307	L1672	0
1308	L1673	0
1309	L1674	0
1310	L1675	0
1311	L1676	0
1312	L1677	0
1313	L1678	0
1314	L1679	0
1315	L1680	0
1316	L1681	0
1317	L1683	0
1318	L1684	0
1319	L1685	0
1320	L1686	0
1321	L1687	0
1322	L1689	0
1323	L1690	0
1324	L1691	0
1325	L1692	0
1326	L1693	1
1327	L1694	0
1328	L1695	0
1329	L1696	0
1330	L1698	0
1331	L1699	0
1332	L1700	0
1333	L1701	0
1334	L1702	0
1335	L1703	0
1336	L1704	0
1337	L1705	0
1338	L1706	0
1339	L1707	0
1340	L1708	0
1341	L1709	0
1342	L1710	0
1343	L1711	0
1344	L1712	0
1345	L1713	0
1346	L1715	0
1347	L1716	0
1348	L1718	0
1349	L1720	0
1350	L1722	0
1351	L1723	0
1352	L1724	0
1353	L1725	0
1354	L1727	0
1355	L1728	0
1356	L1731	1
1357	L1732	0
1358	L1734	0
1359	L1735	0
1360	L1736	0
1361	L1737	0
1362	L1738	0
1363	L1739	0
1364	L1740	0
1365	L1741	1
1366	L1742	0
1367	L1743	0
1368	L1744	0
1369	L1745	0
1370	L1746	0
1371	L1747	0
1372	L1748	0
1373	L1749	0
1374	L1750	0
1375	L1751	0
1376	L1752	0
1377	L1753	0
1378	L1754	0
1379	L1755	0
1380	L1756	0
1381	L1758	0
1382	L1759	1
1383	L1760	0
1384	L1761	0
1385	L1762	0
1386	L1764	0
1387	L1765	0
1388	L1766	0
1389	L1767	0
1390	L1768	1
1391	L1769	0
1392	L1771	0
1393	L1772	0
1394	L1774	0
1395	L1775	0
1396	L1777	0
1397	L1778	0
1398	L1779	0
1399	L1781	0
1400	L1782	0
1401	L1783	0
1402	L1784	0
1403	L1785	0
1404	L1786	0
1405	L1787	0
1406	L1788	0
1407	L1789	0
1408	L1790	1
1409	L1792	0
1410	L1794	0
1411	L1795	0
1412	L1796	0
1413	L1797	0
1414	L1798	0
1415	L1799	0
1416	L1800	0
1417	L1801	0
1418	L1802	0
1419	L1803	0
1420	L1804	0
1421	L1805	0
1422	L1806	0
1423	L1807	0
1424	L1808	0
1425	L1811	0
1426	L1812	0
1427	L1813	1
1428	L1814	1
1429	L1815	0
1430	L1816	0
1431	L1817	0
1432	L1818	0
1433	L1820	0
1434	L1821	0
1435	L1822	0
1436	L1823	0
1437	L1824	0
1438	L1825	1
1439	L1826	0
1440	L1827	0
1441	L1828	0
1442	L1829	0
1443	L1830	0
1444	L1831	0
1445	L1832	0
1446	L1836	0
1447	L1837	0
1448	L1838	0
1449	L1839	0
1450	L1840	0
1451	L1841	0
1452	L1842	0
1453	L1843	0
1454	L1844	0
1455	L1845	0
1456	L1846	0
1457	L1847	0
1458	L1848	0
1459	L1850	0
1460	L1852	0
1461	L1853	0
1462	L1854	0
1463	L1855	0
1464	L1856	0
1465	L1857	1
1466	L1858	0
1467	L1859	0
1468	L1860	0
1469	L1861	0
1470	L1862	0
1471	L1863	0
1472	L1864	0
1473	L1865	0
1474	L1866	0
1475	L1867	0
1476	L1868	0
1477	L1870	0
1478	L1871	0
1479	L1872	1
1480	L1873	0
1481	L1874	0
1482	L1875	1
1483	L1876	0
1484	L1877	0
1485	L1878	1
1486	L1879	0
1487	L1880	0
1488	L1883	0
1489	L1884	0
1490	L1885	0
1491	L1886	0
1492	L1887	0
1493	L1888	0
1494	L1889	0
1495	L1890	0
1496	L1891	0
1497	L1892	0
1498	L1893	0
1499	L1894	0
1500	L1895	0
1501	L1896	0
1502	L1897	0
1503	L1899	0
1504	L1900	0
1505	L1901	0
1506	L1902	1
1507	L1903	0
1508	L1904	0
1509	L1905	0
1510	L1906	0
1511	L1908	0
1512	L1909	0
1513	L1910	0
1514	L1911	0
1515	L1912	0
1516	L1913	0
1517	L1914	1
1518	L1915	0
1519	L1916	0
1520	L1917	0
1521	L1918	0
1522	L1919	0
1523	L1920	0
1524	L1921	0
1525	L1922	0
1526	L1923	0
1527	L1924	0
1528	L1925	0
1529	L1926	0
1530	L1927	1
1531	L1928	0
1532	L1929	0
1533	L1930	0
1534	L1931	0
1535	L1932	0
1536	L1933	0
1537	L1934	0
1538	L1935	0
1539	L1937	0
1540	L1938	0
1541	L1939	0
1542	L1940	0
1543	L1941	0
1544	L1942	0
1545	L1943	0
1546	L1944	0
1547	L1945	0
1548	L1946	0
1549	L1947	0
1550	L1948	0
1551	L1950	0
1552	L1951	1
1553	L1952	0
1554	L1953	0
1555	L1954	0
1556	L1955	0
1557	L1956	0
1558	L1958	0
1559	L1959	0
1560	L1960	0
1561	L1961	0
1562	L1962	0
1563	L1963	0
1564	L1964	1
1565	L1965	0
1566	L1966	0
1567	L1967	0
1568	L1968	0
1569	L1969	0
1570	L1970	0
1571	L1972	0
1572	L1974	0
1573	L1975	0
1574	L1976	0
1575	L1977	0
1576	L1978	0
1577	L1979	0
1578	L1980	0
1579	L1981	0
1580	L1982	0
1581	L1983	0
1582	L1984	0
1583	L1986	0
1584	L1987	0
1585	L1988	0
1586	L1989	0
1587	L1991	0
1588	L1992	0
1589	L1993	0
1590	L1994	0
1591	L1996	0
1592	L1997	0
1593	L1998	0
1594	L1999	0
1595	L2000	0
1596	L2001	0
1597	L2002	0
1598	L2003	0
1599	L2006	0
1600	L2007	0
1601	L2008	0
1602	L2009	0
1603	L2010	0
1604	L2011	0
1605	L2012	0
1606	L2013	0
1607	L2014	0
1608	L2015	0
1609	L2016	0
1610	L2017	1
1611	L2018	0
1612	L2019	0
1613	L2020	0
1614	L2021	0
1615	L2022	0
1616	L2023	0
1617	L2024	0
1618	L2025	0
1619	L2026	0
1620	L2027	0
1621	L2028	0
1622	L2030	0
1623	L2031	0
1624	L2032	1
1625	L2033	0
1626	L2034	0
1627	L2035	0
1628	L2036	0
1629	L2037	0
1630	L2038	0
1631	L2039	1
1632	L2040	0
1633	L2041	0
1634	L2042	0
1635	L2043	0
1636	L2044	0
1637	L2045	0
1638	L2046	0
1639	L2047	0
1640	L2048	1
1641	L2050	0
1642	L2051	1
1643	L2053	0
1644	L2054	0
1645	L2055	0
1646	L2056	0
1647	L2057	0
1648	L2058	0
1649	L2059	0
1650	L2060	0
1651	L2061	0
1652	L2062	0
1653	L2063	0
1654	L2064	0
1655	L2065	0
1656	L2066	0
1657	L2067	0
1658	L2068	0
1659	L2069	0
1660	L2070	0
1661	L2071	0
1662	L2072	0
1663	L2073	0
1664	L2074	0
1665	L2075	0
1666	L2076	0
1667	L2077	0
1668	L2079	0
1669	L2080	0
1670	L2081	0
1671	L2082	0
1672	L2083	0
1673	L2084	0
1674	L2085	0
1675	L2086	0
1676	L2087	0
1677	L2088	0
1678	L2089	0
1679	L2090	0
1680	L2091	0
1681	L2092	0
1682	L2093	0
1683	L2094	0
1684	L2095	0
1685	L2096	0
1686	L2097	0
1687	L2098	0
1688	L2100	1
1689	L2101	0
1690	L2102	0
1691	L2103	0
1692	L2104	0
1693	L2106	0
1694	L2107	0
1695	L2108	0
1696	L2109	0
1697	L2110	0
1698	L2111	0
1699	L2112	0
1700	L2113	0
1701	L2115	0
1702	L2116	0
1703	L2117	0
1704	L2118	0
1705	L2119	0
1706	L2120	1
1707	L2121	0
1708	L2122	0
1709	L2123	0
1710	L2124	0
1711	L2125	0
1712	L2126	0
1713	L2127	0
1714	L2128	0
1715	L2129	0
1716	L2130	0
1717	L2131	0
1718	L2132	0
1719	L2133	0
1720	L2134	1
1721	L2135	0
1722	L2136	0
1723	L2137	0
1724	L2139	0
1725	L2140	0
1726	L2141	0
1727	L2142	0
1728	L2143	0
1729	L2144	1
1730	L2145	0
1731	L2146	0
1732	L2147	0
1733	L2148	0
1734	L2149	0
1735	L2152	0
1736	L2153	0
1737	L2154	0
1738	L2155	0
1739	L2156	0
1740	L2157	0
1741	L2159	0
1742	L2160	0
1743	L2161	0
