SNP	PC
3199	2
3200	1
3201	2
3206	0
3209	0
3214	1
3216	1
3231	0
3233	0
3238	1
3242	0
3243	0
3268	2
3273	0
3275	0
3294	1
3300	2
3301	1
3307	2
3309	1
3311	2
3325	2
3327	0
3334	1
3335	1
3340	2
3346	1
3365	2
3375	2
3382	1
3398	2
3399	1
3401	2
3405	1
3414	2
3421	1
3422	1
3427	1
3435	2
3470	1
3473	1
3474	1
3476	1
3483	2
3517	1
3518	2
3521	2
3528	1
3536	1
3545	2
3549	2
3558	0
3559	2
3565	1
3573	2
3576	0
3579	1
3585	0
3594	0
3595	0
3605	2
3606	1
3613	1
3617	2
3619	1
3622	2
3624	1
3626	1
3629	1
3631	1
3632	1
3633	1
3635	1
3637	2
3642	1
3657	1
3660	1
3667	2
3677	0
3688	1
3692	2
3708	2
3722	1
3727	2
3744	1
3747	1
3754	1
3762	0
3765	2
3766	2
3771	0
3772	1
3783	0
3787	1
3792	0
3794	2
3796	1
3797	2
3801	1
3803	1
3805	1
3811	1
3812	1
3814	1
3819	0
3820	2
3823	2
3824	1
3827	2
3834	1
3836	2
3844	1
3854	2
3855	1
3857	1
3858	2
3859	1
3861	2
3863	1
3865	2
3883	1
3886	0
3889	1
3890	1
3893	2
3896	1
3898	2
3899	1
3901	1
3906	1
3911	0
3920	1
3924	1
3926	1
3932	1
3934	1
3941	3
3944	1
3946	1
3948	2
3952	0
3953	1
3956	1
3960	1
3963	1
3964	2
3971	1
3972	1
3982	1
3983	2
3984	1
3988	0
3999	1
4004	1
4008	2
4010	1
4012	1
4016	0
4025	0
4026	0
4028	1
4035	0
4037	1
4041	2
4042	0
4045	1
4050	0
4051	1
4052	1
4054	1
4055	1
4057	1
4063	1
4065	0
4066	2
4068	1
4077	2
4083	2
4096	1
4098	1
4106	0
4107	1
4117	1
4121	1
4123	1
4126	2
4132	1
4134	2
4136	1
4143	1
4144	1
4145	1
4154	1
4156	1
4159	1
4163	1
4167	1
4176	1
4177	2
4182	1
4185	1
4187	1
4188	1
4189	1
4191	2
4193	2
4195	0
4200	0
4204	1
4205	0
4206	2
4207	1
4208	0
4211	0
4221	1
4225	1
4234	1
4236	0
4242	1
4244	2
4248	0
4250	0
4251	1
4253	1
4255	1
4260	1
4263	1
4266	1
4269	1
4270	0
4271	1
4276	0
4281	0
4283	2
4284	1
4294	1
4299	2
4300	2
4303	1
4309	1
4311	2
4314	1
4316	0
4317	1
4318	0
4321	1
4322	2
4330	0
4333	1
4342	2
4344	2
4352	1
4354	1
4355	2
4359	0
4365	1
4369	1
4371	1
4376	1
4378	1
4383	2
4385	1
4387	1
4389	1
4397	1
4413	1
4424	1
4430	1
4435	1
4440	0
4444	1
4451	1
4454	1
4464	1
4465	1
4470	1
4491	1
4496	2
4497	1
4500	2
4501	1
4503	1
4505	0
4506	1
4507	0
4513	1
4515	1
4518	1
4519	1
4522	2
4524	1
4527	1
4531	2
4533	0
4535	0
4542	1
4544	1
4546	1
4560	1
4565	1
4571	1
4584	2
4591	1
4599	0
4601	0
4605	0
4611	1
4622	1
4623	2
4651	0
4652	1
4655	0
4659	1
4663	1
4664	1
4678	2
4681	1
4687	0
4700	2
4702	1
4711	1
4721	1
4725	1
4726	1
4735	0
4737	0
4740	2
4749	2
4757	1
4760	1
4765	2
4784	1
4797	1
4798	2
4799	2
4801	2
4806	2
4810	1
4812	0
4814	1
4815	1
4821	2
4822	2
4827	1
4830	0
4832	2
4834	1
4836	2
4839	1
4841	1
4848	1
4853	1
4862	2
4867	2
4871	1
4874	1
4875	2
4883	1
4886	2
4888	1
4892	1
4901	2
4905	1
4906	0
4907	1
4914	2
4915	1
4923	1
4929	1
4935	1
4939	1
4942	3
4949	0
4952	1
4964	1
4968	1
4969	2
4970	1
4978	0
4979	2
4980	1
4982	2
4985	1
4988	1
4996	1
4998	1
5004	1
5007	2
5009	2
5010	1
5015	2
5021	2
5025	2
5032	1
5035	1
5039	2
5043	2
5059	1
5070	3
5071	1
5073	0
5081	1
5088	2
5092	1
5100	1
5111	1
5117	1
5125	1
5126	2
5131	1
5135	1
5143	1
5153	2
5154	1
5159	2
5161	2
5167	1
5170	1
5174	0
5176	1
5177	2
5179	1
5185	1
5187	1
5188	2
5192	1
5199	1
5206	1
5209	1
5213	1
5214	0
5215	1
5225	2
5227	1
5229	0
5231	2
5238	1
5239	2
5242	2
5244	2
5247	1
5251	1
5259	1
5260	0
5263	1
5272	1
5277	2
5294	1
5307	1
5309	2
5314	1
5315	1
5325	1
5333	0
5338	2
5341	1
5342	1
5343	1
5358	1
5361	1
5380	2
5385	2
5404	2
5409	2
5410	0
5416	1
5417	2
5420	0
5421	2
5423	1
5427	2
5431	1
5437	1
5441	1
5454	1
5460	2
5466	2
5469	0
5478	1
5482	0
5496	1
5497	2
5505	1
5508	1
5511	1
5517	2
5521	0
5524	1
5526	2
5530	1
5532	1
5534	0
5541	1
5544	1
5552	1
5553	2
5560	1
5568	1
5571	1
5575	2
5581	1
5595	1
5597	1
5598	1
5615	1
5635	1
5636	1
5639	2
5643	1
5645	0
5650	2
5658	1
5659	1
5665	0
5671	2
5680	1
5681	2
5682	2
5685	1
5700	0
5704	1
5706	0
5713	1
5714	1
5718	1
5720	0
5723	2
5741	1
5742	2
5747	0
5751	1
5752	2
5758	1
5762	0
5768	0
5774	1
5775	1
5780	1
5781	0
5788	2
5790	2
5792	1
5796	2
5798	2
5799	1
5801	1
5804	1
5806	1
5807	1
5808	1
5825	0
5827	1
5833	2
5844	0
5845	0
5849	2
5852	2
5853	1
5854	2
5855	1
5858	0
5860	1
5861	2
5869	2
5872	1
5874	2
5883	2
5884	1
5894	1
5903	2
5912	0
5915	1
5921	1
5925	1
5935	1
5948	1
5949	1
5951	1
5959	2
5960	1
5965	2
5968	1
5975	1
5978	1
5984	2
5985	1
5994	1
5998	1
6001	0
6007	0
6012	0
6019	1
6021	1
6024	1
6027	2
6029	1
6030	0
6034	2
6036	1
6038	1
6039	1
6042	1
6043	1
6049	1
6052	1
6059	1
6061	1
6063	1
6073	2
6077	1
6081	1
6083	1
6088	1
6089	1
6096	2
6098	2
6101	1
6105	1
6107	2
6116	1
6140	1
6144	1
6146	2
6147	0
6150	2
6151	1
6153	2
6156	1
6158	1
6159	1
6163	2
6164	2
6165	1
6176	2
6178	2
6187	1
6188	2
6189	1
6192	1
6195	2
6197	1
6199	2
6207	1
6208	1
6214	1
6219	2
6221	2
6224	1
6227	1
6228	1
6230	1
6232	1
6233	1
6237	1
6248	1
6252	3
6259	1
6263	1
6268	1
6274	1
6277	2
6280	1
6283	1
6288	1
6289	1
6291	1
6294	2
6299	1
6309	1
6319	2
6321	1
6322	2
6330	1
6334	1
6336	2
6339	0
6344	0
6353	0
6364	0
6365	2
6366	1
6371	2
6375	1
6376	1
6377	1
6380	1
6381	2
6392	1
6401	1
6405	2
6425	0
6426	1
6433	1
6437	2
6438	1
6454	1
6460	2
6465	1
6474	1
6481	1
6493	1
6496	2
6503	1
6512	1
6520	1
6521	1
6528	2
6533	2
6536	1
6557	1
6558	1
6561	0
6567	2
6570	1
6572	1
6579	1
6588	1
6602	1
6604	1
6608	1
6613	1
6617	2
6618	1
6621	0
6623	2
6626	1
6630	0
6637	2
6641	0
6642	1
6647	0
6651	2
6653	1
6656	0
6667	1
6670	1
6676	1
6677	1
6678	1
6684	2
6685	1
6687	2
6691	2
6692	1
6693	2
6696	1
6699	2
6701	0
6705	1
6709	0
6710	1
6716	1
6723	1
6726	2
6728	1
6731	1
6734	2
6737	1
6738	1
6739	1
6744	2
6746	1
6747	2
6748	1
6754	0
6756	1
6758	2
6759	0
6762	1
6763	1
6764	1
6771	1
6777	1
6782	0
6791	1
6807	1
6808	1
6812	1
6815	2
6826	0
6830	1
6840	1
6843	0
6849	1
6854	1
6866	1
6872	0
6875	1
6876	1
6877	2
6880	1
6888	1
6889	1
6892	1
6904	1
6913	0
6915	1
6929	1
6931	1
6944	2
6948	1
6950	1
6954	2
6961	1
6962	1
6976	0
6984	1
6986	2
6988	0
7001	1
7002	1
7009	2
7018	1
7021	1
7026	1
7031	1
7032	1
7033	2
7039	1
7040	1
7050	1
7053	1
7054	2
7059	1
7061	1
7063	2
7070	1
7073	1
7075	1
7088	1
7093	1
7095	0
7107	1
7111	1
7112	2
7116	0
7119	1
7120	1
7124	1
7127	1
7130	1
7131	2
7144	1
7147	1
7160	1
7163	2
7170	2
7171	1
7173	1
7175	0
7176	2
7177	0
7178	1
7179	1
7182	2
7186	1
7192	2
7208	2
7209	1
7218	0
7221	2
7224	1
7225	2
7227	1
7230	0
7231	1
7238	2
7239	1
7240	0
7241	1
7246	1
7249	1
7255	1
7260	2
7262	0
7263	1
7268	2
7269	1
7273	1
7275	1
7276	1
7280	2
7281	1
7283	1
7285	1
7286	1
7292	1
7299	1
7302	1
7303	1
7307	1
7310	0
7315	1
7321	2
7322	0
7323	1
7324	1
7331	0
7332	1
7333	2
7340	1
7347	1
7348	2
7350	1
7353	0
7357	1
7366	2
7373	2
7374	1
7378	1
7379	1
7381	2
7382	2
7385	1
7394	1
7399	1
7402	1
7409	2
7417	1
7433	0
7435	1
7443	1
7445	1
7450	1
7454	1
7457	1
7465	1
7475	1
7478	1
7480	0
7484	2
7486	2
7490	1
7495	1
7497	1
7505	2
7506	1
7513	0
7515	0
7517	1
7518	2
7519	1
7529	1
7531	1
7532	1
7540	1
7546	1
7552	1
7557	2
7558	2
7568	2
7570	2
7580	1
7581	1
7582	0
7583	1
7592	1
7593	1
7595	1
7603	2
7612	1
7615	2
7616	1
7619	1
7630	0
7631	2
7633	2
7636	1
7637	1
7638	1
7647	0
7649	2
7650	0
7655	1
7668	2
7677	1
7678	0
7685	2
7689	1
7690	1
7693	1
7702	2
7704	0
7710	2
7713	1
7714	1
7722	1
7733	1
7738	1
7747	1
7751	0
7755	0
7759	2
7760	2
7762	1
7763	2
7764	1
7772	1
7774	1
7775	0
7781	1
7783	1
7785	2
7787	2
7789	1
7790	1
7794	1
7798	0
7806	2
7808	1
7809	1
7820	1
7827	2
7837	1
7838	0
7844	2
7848	1
7851	1
7852	1
7853	1
7862	2
7863	1
7869	1
7874	2
7876	1
7881	2
7882	1
7889	0
7896	2
7900	1
7901	0
7933	1
7934	1
7940	1
7943	1
7951	0
7968	2
7969	2
7976	1
7979	1
7981	0
7982	2
7985	1
7991	0
7993	2
7999	1
8013	2
8016	2
8023	0
8027	1
8039	2
8043	1
8049	2
8051	1
8052	1
8054	1
8068	1
8069	2
8071	1
8081	0
8082	1
8085	0
8089	2
8090	1
8093	1
8096	1
8102	1
8104	2
8113	2
8114	1
8116	1
8122	1
8130	1
8135	1
8140	0
8141	1
8144	2
8145	2
8157	1
8162	1
8164	1
8166	1
8173	1
8178	2
8184	2
8188	1
8189	0
8190	0
8193	1
8195	0
8197	1
8198	0
8200	1
8203	1
8207	1
8208	1
8212	2
8222	1
8224	1
8226	0
8242	1
8244	1
8247	2
8258	1
8259	1
8261	2
8267	1
8268	2
8273	1
8274	1
8279	1
8281	2
8283	1
8285	1
8286	1
8292	2
8299	1
8330	2
8338	1
8345	1
8350	1
8354	2
8357	2
8365	1
8366	1
8371	1
8372	1
8378	2
8385	0
8406	1
8409	1
8414	1
8415	1
8418	1
8421	2
8424	1
8426	1
8429	2
8431	1
8433	0
8438	1
8441	1
8449	1
8452	2
8453	1
8461	2
8465	2
8469	0
8471	1
8474	1
8475	1
8476	3
8480	1
8483	1
8485	0
8496	1
8502	1
8504	0
8515	1
8517	1
8523	1
8524	2
8532	2
8546	1
8568	1
8573	2
8579	0
8580	2
8583	2
8584	0
8588	2
8591	1
8594	1
8605	2
8608	1
8611	1
8612	1
8615	1
8627	2
8629	1
8632	2
8634	1
8635	2
8642	1
8648	2
8651	2
8654	1
8659	2
8673	1
8676	1
8677	2
8694	1
8699	0
8700	1
8701	0
8702	1
8704	1
8707	1
8712	2
8721	1
8725	0
8731	1
8732	0
8737	1
8747	1
8748	1
8754	2
8755	1
8758	0
8767	1
8777	2
8786	1
8787	1
8789	1
8796	2
8797	0
8799	1
8810	1
8811	2
8814	2
8818	1
8819	1
8825	1
8832	1
8834	1
8836	1
8838	1
8845	0
8854	1
8855	2
8858	1
8860	0
8866	1
8872	2
8874	2
8877	0
8892	1
8893	0
8897	0
8898	2
8902	1
8903	1
8905	1
8907	1
8912	1
8915	1
8917	1
8918	1
8923	1
8926	2
8929	1
8935	0
8947	1
8950	1
8951	1
8952	2
8971	2
8973	1
8974	1
8978	0
8981	0
8984	1
8985	2
8988	1
8990	1
8994	2
8996	0
8997	1
9017	0
9020	0
9026	0
9027	0
9035	1
9041	1
9042	1
9043	1
9045	1
9046	1
9051	2
9053	1
9054	1
9057	2
9059	0
9063	1
9072	0
9083	0
9087	0
9088	2
9092	1
9093	1
9094	1
9099	2
9101	1
9104	1
9105	2
9106	0
9108	1
9111	1
9113	1
9116	1
9119	1
9122	1
9129	2
9132	1
9135	1
9140	2
9141	1
9145	2
9147	1
9149	2
9153	1
9162	1
9164	1
9172	2
9176	1
9183	1
9189	1
9193	1
9197	2
9199	1
9202	0
9203	1
9206	2
9207	1
9211	1
9223	1
9224	2
9225	2
9228	1
9229	2
9235	1
9239	1
9252	1
9262	1
9263	2
9271	0
9275	2
9279	1
9283	1
9291	1
9294	0
9298	1
9299	2
9305	1
9311	1
9313	2
9322	1
9325	2
9341	0
9342	2
9349	1
9352	1
9361	2
9369	1
9374	1
9378	2
9407	0
9422	1
9424	2
9440	2
9457	1
9458	2
9459	1
9467	2
9469	1
9474	1
9476	1
9479	1
9487	1
9494	0
9500	1
9502	0
9504	1
9508	1
9509	1
9513	2
9517	1
9524	1
9526	1
9528	2
9530	2
9531	1
9535	1
9538	1
9543	1
9551	1
9552	1
9553	1
9554	2
9557	2
9564	1
9568	1
9571	1
9572	1
9575	2
9576	1
9578	2
9589	1
9598	1
9607	1
9617	1
9621	1
9626	1
9627	1
9643	1
9646	1
9650	1
9652	1
9659	1
9663	2
9664	2
9665	1
9672	0
9675	2
9676	1
9680	1
9687	1
9690	1
9692	1
9697	2
9698	1
9703	1
9704	1
9706	0
9709	1
9730	1
9736	1
9739	1
9740	1
9742	2
9746	1
9747	1
9761	1
9770	1
9772	1
9775	0
9782	2
9792	1
9795	0
9807	0
9810	2
9813	1
9814	1
9818	0
9824	1
9829	0
9841	1
9844	1
9855	1
9856	2
9865	1
9868	1
9869	1
9870	0
9872	1
9875	1
9878	2
9884	1
9889	0
9894	1
9895	2
9896	2
9898	1
9909	0
9910	1
9917	1
9918	2
9919	0
9927	1
9933	1
9937	0
9944	0
9946	2
9956	1
9963	1
9969	1
9985	1
9987	1
9988	0
9992	1
10005	2
10007	0
10012	2
10015	1
10016	1
10018	0
10023	1
10026	1
10027	2
10028	1
10031	2
10037	1
10041	2
10042	2
10045	0
10057	1
10062	1
10067	0
10075	2
10077	0
10080	0
10084	2
10087	1
10092	1
10094	0
10097	1
10098	1
10100	2
10101	0
10109	1
10110	2
10115	1
10116	0
10120	1
10130	1
10133	2
10135	1
10138	1
10145	1
10147	0
10164	1
10166	2
10169	1
10172	1
10177	1
10179	1
10181	1
10182	1
10190	1
10211	2
10212	1
10223	1
10236	2
10239	2
10263	2
10264	0
10266	1
10274	1
10291	1
10294	2
10295	1
10300	1
10308	0
10326	0
10330	1
10333	2
10345	1
10347	1
10354	0
10356	1
10375	0
10378	0
10379	1
10381	1
10385	1
10386	1
10388	0
10397	1
10399	0
10406	2
10409	1
10411	2
10412	2
10419	0
10420	1
10426	1
10427	0
10429	1
10432	1
10441	1
10444	1
10449	2
10452	2
10453	1
10457	0
10459	1
10467	1
10469	1
10473	1
10474	1
10487	1
10491	2
10492	1
10500	1
10507	1
10510	1
10524	0
10530	1
10531	0
10532	1
10535	2
10536	2
10547	0
10556	1
10559	1
10561	1
10564	1
10565	1
10567	1
10571	1
10575	0
10577	0
10580	1
10586	1
10593	0
10594	2
10595	1
10596	2
10603	2
10610	1
10616	2
10619	1
10628	1
10634	2
10642	0
10663	1
10672	2
10682	2
10684	1
10686	2
10707	1
10709	1
10715	0
10716	1
10722	1
10724	1
10727	1
10729	0
10734	2
10736	1
10742	1
10749	1
10753	1
10757	0
10759	2
10763	2
10765	0
10766	1
10768	2
10772	1
10784	0
10786	1
10787	1
10792	1
10795	1
10802	1
10804	1
10807	1
10810	2
10813	2
10814	2
10817	1
10818	2
10821	2
10822	1
10828	2
10829	1
10831	2
10833	0
10835	1
10841	2
10843	1
10849	1
10862	2
10865	2
10874	1
10875	1
10880	1
10890	2
10891	1
10896	2
10904	1
10908	1
10909	1
10910	2
10913	1
10915	1
10919	1
10930	2
10935	2
10941	0
10944	1
10946	2
10950	1
10959	1
10975	1
10978	1
10990	1
10993	1
10996	0
11009	1
11010	2
11011	0
11019	1
11020	1
11036	2
11043	0
11052	1
11055	1
11059	1
11061	1
11063	0
11078	1
11082	1
11091	2
11096	2
11103	1
11109	2
11113	1
11119	2
11125	1
11129	1
11132	1
11134	1
11136	1
11139	2
11151	2
11152	1
11156	1
11160	1
11171	2
11180	1
11182	0
11183	1
11185	1
11190	1
11197	1
11198	1
11200	0
11212	1
11213	2
11218	1
11223	1
11228	0
11237	0
11243	0
11246	1
11254	1
11260	0
11261	1
11271	1
11276	0
11280	1
11281	0
11282	1
11284	0
11286	2
11298	1
11316	2
11317	1
11326	2
11329	1
11336	2
11341	2
11344	1
11348	2
11352	2
11358	1
11363	1
11364	1
11369	2
11370	2
11371	0
11383	1
11384	2
11389	0
11390	2
11395	0
11396	0
11399	1
11401	2
11406	1
11415	1
11424	1
11426	1
11429	1
11431	2
11435	1
11437	1
11440	0
11443	0
11445	1
11446	1
11452	1
11457	2
11462	1
11467	0
11468	1
11470	1
11471	1
11475	1
11488	1
11494	0
11496	0
11503	1
11504	1
11506	2
11508	1
11515	2
11517	0
11534	1
11539	1
11545	0
11559	0
11568	0
11569	1
11570	1
11572	0
11576	1
11579	1
11585	2
11587	1
11591	1
11592	1
11595	3
11598	2
11599	2
11601	2
11602	0
11605	0
11606	1
11611	1
11616	1
11617	1
11631	0
11633	0
11634	2
11635	1
11641	2
11647	1
11649	1
11658	1
11659	1
11663	0
11669	1
11671	1
11674	1
11675	1
11678	1
11681	1
11682	1
11690	1
11695	1
11699	2
11700	1
11704	2
11711	1
11713	1
11716	1
11718	1
11724	2
11726	0
11740	1
11741	0
11743	1
11747	0
11748	1
11751	1
11759	0
11760	1
11766	1
11769	1
11770	1
11776	1
11777	2
11782	1
11794	1
11795	0
11797	1
11798	1
11802	1
11805	1
11806	2
11808	1
11813	1
11814	2
11820	1
11823	1
11825	1
11827	1
11830	2
11834	1
11848	0
11849	1
11856	1
11874	1
11888	1
11913	1
11916	1
11937	2
11943	1
11944	2
11945	1
11946	1
11950	1
11952	1
11953	1
11966	2
11967	1
11970	1
11988	2
11995	2
11996	1
12006	1
12007	1
12009	1
12013	2
12015	2
12022	1
12027	1
12031	1
12034	2
12037	1
12042	1
12049	1
12050	0
12054	1
12055	1
12057	2
12060	1
12068	1
12076	0
12080	1
12083	1
12099	2
12100	1
12103	2
12104	2
12110	2
12111	2
12116	1
12120	1
12128	0
12129	1
12132	1
12134	0
12136	0
12144	1
12153	0
12155	1
12158	1
12166	1
12167	1
12168	1
12170	1
12176	2
12178	2
12186	1
12192	1
12196	1
12203	1
12206	1
12212	1
12213	2
12218	1
12221	1
12227	2
12228	1
12231	1
12234	1
12242	1
12248	2
12249	2
12251	1
12257	1
12258	1
12260	0
12262	0
12267	1
12269	2
12272	0
12273	1
12279	1
12280	0
12282	0
12294	1
12296	1
12298	1
12301	2
12312	1
12314	1
12320	1
12325	0
12328	1
12332	1
12342	1
12350	1
12351	0
12354	1
12355	1
12364	1
12366	1
12369	1
12376	1
12377	1
12383	1
12389	1
12392	1
12401	1
12402	0
12403	0
12405	2
12407	2
12408	1
12411	2
12414	2
12417	1
12418	1
12419	0
12420	1
12424	0
12425	2
12428	1
12434	1
12436	1
12440	1
12441	2
12442	1
12448	1
12450	1
12454	2
12456	1
12467	2
12473	1
12478	2
12480	1
12482	1
12484	2
12487	1
12490	1
12491	1
12506	2
12510	1
12522	1
12523	1
12528	1
12529	1
12539	2
12540	1
12551	1
12552	2
12555	1
12566	1
12570	1
12576	2
12577	2
12579	1
12580	2
12583	0
12585	0
12587	2
12593	2
12596	1
12602	2
12605	1
12606	1
12615	2
12616	0
12620	1
12621	1
12629	1
12631	1
12633	1
12636	1
12642	1
12644	1
12645	2
12646	1
12662	1
12664	1
12668	1
12669	1
12672	1
12683	1
12684	0
12689	1
12690	1
12698	1
12704	1
12709	2
12710	1
12714	1
12716	1
12717	1
12735	1
12738	0
12746	1
12759	1
12766	2
12767	2
12792	1
12794	0
12800	1
12808	1
12812	0
12816	1
12818	1
12820	2
12823	2
12833	0
12849	1
12852	1
12860	1
12861	1
12867	2
12873	1
12879	1
12882	1
12888	1
12889	1
12890	2
12894	2
12895	2
12899	1
12904	1
12906	2
12913	1
12932	0
12938	1
12940	2
12949	1
12961	1
12963	1
12971	2
12972	1
12980	1
12981	0
12994	2
13013	1
13023	1
13028	1
13031	2
13032	2
13037	1
13045	0
13059	1
13061	1
13064	0
13066	1
13067	0
13068	1
13070	1
