locus	lind	pca_outl	lfmm_outl
L778	155	1	0
L782	156	0	0
L784	157	0	0
L785	158	0	0
L794	159	0	0
L799	160	1	0
L801	161	0	0
L805	162	0	0
L808	163	0	0
L810	164	0	0
L813	165	0	0
L815	166	0	0
L816	167	0	0
L817	168	1	0
L821	169	0	0
L822	170	0	0
L823	171	0	0
L824	172	0	0
L825	173	0	0
L827	174	0	0
L828	175	0	0
L829	176	0	0
L830	177	0	0
L835	178	1	0
L838	179	0	0
L844	180	0	0
L846	181	0	0
L848	182	1	0
L859	183	0	0
L863	184	0	0
L871	185	0	0
L880	186	0	0
L883	187	1	0
L884	188	0	0
L885	189	1	0
L890	190	0	0
L896	191	0	0
L897	192	1	0
L899	193	0	0
L900	194	1	0
L901	195	0	0
L905	196	0	0
L907	197	0	0
L909	198	0	0
L911	199	0	0
L912	200	1	0
L919	201	1	0
L924	202	0	0
L927	203	1	0
L929	204	0	0
L931	205	0	0
L933	206	1	0
L936	207	0	0
L938	208	0	0
L939	209	0	0
L940	210	0	0
L943	211	0	0
L949	212	0	0
L950	213	0	0
L952	214	0	0
L956	215	0	0
L960	216	0	0
L966	217	1	0
L968	218	0	0
L969	219	0	0
L971	220	0	0
L972	221	1	0
L978	222	0	0
L981	223	1	0
L982	224	0	0
L984	225	1	0
L985	226	0	0
L986	227	0	0
L989	228	0	0
L990	229	0	0
L993	230	0	0
L1001	231	0	0
L1002	232	1	0
L1006	233	0	0
L1008	234	0	0
L1018	235	1	0
L1020	236	0	0
L1022	237	0	0
L1023	238	0	0
L1028	239	0	0
L1029	240	0	0
L1031	241	0	0
L1032	242	1	0
L1034	243	0	0
L1038	244	0	0
L1042	245	0	0
L1044	246	0	0
L1046	247	0	0
L1047	248	0	0
L1048	249	0	0
L1050	250	0	0
L1054	251	1	0
L1057	252	1	0
L1064	253	0	0
L1067	254	1	0
L1071	255	0	0
L1074	256	0	0
L1075	257	0	0
L1077	258	0	0
L1081	259	0	0
L1085	260	1	0
L1088	261	1	0
L1089	262	0	0
L1090	263	1	0
L1096	264	0	0
L1098	265	0	0
L1101	266	1	0
L1102	267	0	0
L1108	268	0	0
L1114	269	1	0
L1122	270	1	0
L1123	271	0	0
L1130	272	0	0
L1131	273	0	0
L1138	274	0	0
L1139	275	0	0
L1140	276	1	0
L1143	277	1	0
L1145	278	0	0
L1146	279	0	0
L1147	280	1	0
L1150	281	0	0
L1152	282	0	0
L1154	283	0	0
L1156	284	1	0
L1161	285	0	0
L1171	286	0	0
L1174	287	0	0
L1176	288	0	0
L1177	289	0	0
L1178	290	0	0
L1179	291	0	0
L1183	292	1	0
L1185	293	0	0
L1186	294	1	0
L1189	295	1	0
L1191	296	1	0
L1192	297	1	0
L1196	298	0	0
L1197	299	1	0
L1199	300	0	0
L1204	301	0	0
L1205	302	0	0
L1209	303	0	0
L1211	304	1	0
L1214	305	0	0
L1218	306	0	0
L1219	307	1	0
L1225	308	0	0
L1229	309	0	0
L1230	310	0	0
L1233	311	0	0
L1234	312	1	0
L1236	313	1	0
L1242	314	0	0
L1243	315	0	0
L1244	316	1	0
L1245	317	1	0
L1253	318	0	0
L1254	319	0	0
L1255	320	0	0
L1257	321	0	0
L1263	322	0	0
L1264	323	1	0
L1267	324	0	0
L1268	325	1	0
L1270	326	1	0
L1280	327	0	0
L1281	328	0	0
L1283	329	0	0
L1284	330	0	0
L1287	331	1	0
L1288	332	0	0
L1296	333	0	0
L1299	334	0	0
L1300	335	0	0
L1301	336	0	0
L1303	337	1	0
L1304	338	0	0
L1306	339	0	0
L1307	340	0	0
L1313	341	1	0
L1316	342	0	0
L1317	343	1	0
L1318	344	1	0
L1321	345	0	0
L1323	346	0	0
L1333	347	0	0
L1336	348	0	0
L1343	349	0	0
L1345	350	0	0
L1346	351	1	0
L1347	352	0	0
L1350	353	0	0
L1352	354	0	0
L1353	355	1	0
L1355	356	0	0
L1356	357	0	0
L1359	358	0	0
L1362	359	0	0
L1364	360	0	0
L1366	361	1	0
L1370	362	0	0
L1372	363	0	0
L1373	364	0	0
L1376	365	1	0
L1377	366	0	0
L1379	367	0	0
L1382	368	0	0
L1385	369	0	0
L1387	370	1	0
L1389	371	0	0
L1396	372	0	0
L1397	373	1	0
L1404	374	0	0
L1406	375	0	0
L1408	376	0	0
L1411	377	1	0
L1413	378	0	0
L1414	379	0	0
L1416	380	0	0
L1419	381	0	0
L1421	382	0	0
L1424	383	0	0
L1425	384	0	0
L1429	385	1	0
L1433	386	0	0
L1435	387	0	0
L1445	388	0	0
L1446	389	0	0
L1449	390	0	0
L1460	391	0	0
L1462	392	0	0
L1463	393	0	0
L1466	394	0	0
L1471	395	0	0
L1475	396	0	0
L1476	397	0	0
L1482	398	0	0
L1483	399	0	0
L1485	400	0	0
L1486	401	0	0
L1496	402	0	0
L1499	403	0	0
L1500	404	1	0
L1501	405	0	0
L1504	406	0	0
L1508	407	0	0
L1511	408	0	0
L1512	409	0	0
L1515	410	0	0
L1516	411	0	0
L1517	412	1	0
L1518	413	0	0
L1522	414	0	0
L1525	415	0	0
L1548	416	0	0
L1550	417	0	0
L1551	418	0	0
L1552	419	0	0
L1561	420	0	0
L1562	421	1	0
L1563	422	0	0
L1567	423	0	0
L1568	424	0	0
L1569	425	1	0
L1575	426	0	0
L1577	427	0	0
L1587	428	0	0
L1591	429	1	0
L1592	430	0	0
L1596	431	0	0
L1598	432	1	0
L1601	433	0	0
L1603	434	0	0
L1606	435	0	0
L1608	436	0	0
L1615	437	0	0
L1616	438	0	0
L1618	439	0	0
L1619	440	0	0
L1625	441	0	0
L1628	442	0	0
L1631	443	0	0
L1632	444	0	0
L1633	445	0	0
L1634	446	1	0
L1635	447	0	0
L1636	448	0	0
L1639	449	0	0
L1640	450	0	0
L1641	451	0	0
L1643	452	0	0
L1644	453	1	0
L1645	454	0	0
L1646	455	1	0
L1649	456	0	0
L1650	457	0	0
L1652	458	0	0
L1653	459	1	0
L1654	460	1	0
L1655	461	1	0
L1657	462	1	0
L1659	463	1	0
L1660	464	0	0
L1662	465	0	0
L1674	466	0	0
L1675	467	1	0
L1676	468	1	0
L1677	469	0	0
L1686	470	0	0
L1689	471	0	0
L1690	472	1	0
L1692	473	0	0
L1695	474	0	0
L1698	475	1	0
L1699	476	0	0
L1702	477	0	0
L1704	478	0	0
L1706	479	0	0
L1710	480	0	0
L1716	481	1	0
L1718	482	1	0
L1720	483	0	0
L1723	484	0	0
L1724	485	0	0
L1725	486	0	0
L1727	487	0	0
L1734	488	0	0
L1735	489	0	0
L1737	490	1	0
L1740	491	0	0
L1744	492	0	0
L1748	493	0	0
L1749	494	1	0
L1751	495	0	0
L1753	496	0	0
L1755	497	1	0
L1758	498	0	0
L1766	499	0	0
L1767	500	0	0
L1769	501	0	0
L1774	502	0	0
L1781	503	0	0
L1783	504	0	0
L1786	505	0	0
L1787	506	0	0
L1792	507	1	0
L1796	508	1	0
L1797	509	0	0
L1801	510	0	0
L1802	511	0	0
L1803	512	0	0
L1806	513	0	0
L1807	514	1	0
L1811	515	0	0
L1812	516	0	0
L1818	517	0	0
L1820	518	0	0
L1824	519	0	0
L1829	520	0	0
L1830	521	1	0
L1832	522	0	0
L1837	523	0	0
L1838	524	0	0
L1839	525	0	0
L1840	526	0	0
L1841	527	1	0
L1842	528	0	0
L1847	529	0	0
L1852	530	0	0
L1854	531	0	0
L1856	532	0	0
L1860	533	1	0
L1861	534	0	0
L1863	535	0	0
L1864	536	0	0
L1868	537	1	0
L1874	538	0	0
L1880	539	1	0
L1883	540	1	0
L1885	541	0	0
L1888	542	0	0
L1889	543	1	0
L1891	544	1	0
L1893	545	0	1
L1894	546	0	0
L1895	547	0	0
L1897	548	1	0
L1899	549	1	0
L1900	550	0	0
L1901	551	0	0
L1904	552	0	0
L1906	553	0	0
L1908	554	0	0
L1909	555	1	0
L1910	556	0	0
L1913	557	0	0
L1915	558	1	0
L1917	559	1	0
L1919	560	0	0
L1922	561	1	0
L1923	562	1	0
L1928	563	0	0
L1930	564	0	0
L1931	565	0	0
L1932	566	0	0
L1944	567	0	0
L1945	568	0	0
L1953	569	0	0
L1954	570	0	0
L1955	571	1	0
L1958	572	0	0
L1960	573	1	0
L1963	574	0	0
L1965	575	0	0
L1966	576	0	0
L1972	577	0	0
L1976	578	0	0
L1979	579	1	0
L1980	580	0	0
L1981	581	0	0
L1982	582	0	0
L1987	583	1	0
L1989	584	0	0
L1996	585	0	0
L1997	586	1	0
L1999	587	1	0
L2001	588	0	0
L2008	589	0	0
L2012	590	0	0
L2013	591	0	0
L2014	592	0	0
L2018	593	0	0
L2020	594	0	0
L2023	595	0	0
L2025	596	1	0
L2026	597	0	0
L2027	598	1	0
L2031	599	0	0
L2035	600	0	0
L2037	601	0	0
L2038	602	0	0
L2041	603	0	0
L2054	604	0	0
L2056	605	0	0
L2057	606	0	0
L2058	607	0	0
L2059	608	0	0
L2061	609	0	0
L2063	610	0	0
L2066	611	1	0
L2067	612	0	0
L2069	613	0	0
L2070	614	0	0
L2075	615	0	0
L2077	616	0	0
L2079	617	0	0
L2080	618	0	0
L2083	619	0	0
L2084	620	0	0
L2088	621	0	0
L2090	622	0	0
L2092	623	0	0
L2096	624	0	0
L2100	625	0	0
L2101	626	1	0
L2107	627	1	0
L2108	628	0	0
L2111	629	0	0
L2112	630	1	0
L2113	631	0	0
L2117	632	0	0
L2118	633	0	0
L2119	634	0	0
L2121	635	0	0
L2123	636	0	0
L2124	637	1	0
L2126	638	0	0
L2127	639	0	0
L2128	640	0	0
L2129	641	0	0
L2130	642	0	0
L2132	643	0	0
L2136	644	1	0
L2139	645	0	0
L2141	646	0	0
L2143	647	1	0
L2145	648	0	0
L2146	649	0	0
L2154	650	0	0
L2157	651	0	0
L2159	652	0	0
L2163	653	0	0
L2167	654	0	0
L2178	655	0	0
L2179	656	0	0
L2183	657	0	0
L2184	658	0	0
L2186	659	0	0
L2188	660	0	0
L2189	661	0	0
L2190	662	1	0
L2191	663	0	0
L2192	664	1	0
L2194	665	0	1
L2197	666	0	0
L2199	667	0	0
L2200	668	1	0
L2204	669	0	0
L2205	670	0	0
L2207	671	0	0
L2209	672	0	0
L2210	673	0	0
L2211	674	0	0
L2212	675	1	0
L2213	676	0	0
L2216	677	1	0
L2223	678	1	0
L2230	679	0	0
L2231	680	0	0
L2232	681	0	0
L2234	682	0	0
L2237	683	0	0
L2238	684	0	0
L2239	685	0	0
L2246	686	0	0
L2248	687	0	0
L2250	688	0	0
L2251	689	0	0
L2254	690	0	0
L2255	691	1	0
L2258	692	0	0
L2263	693	0	0
L2266	694	1	0
L2269	695	1	0
L2271	696	0	0
L2273	697	1	0
L2274	698	0	0
L2276	699	0	0
L2278	700	0	0
L2280	701	0	0
L2285	702	1	0
L2291	703	1	0
L2294	704	1	0
L2296	705	0	0
L2297	706	0	0
L2303	707	0	0
L2311	708	0	0
L2313	709	0	0
L2321	710	0	0
L2325	711	0	0
L2326	712	0	0
L2329	713	1	0
L2335	714	0	0
L2336	715	0	0
L2339	716	0	0
L2344	717	0	0
L2353	718	0	0
L2355	719	0	0
L2360	720	0	0
L2363	721	0	0
L2364	722	1	0
L2365	723	0	0
L2370	724	0	0
L2371	725	0	0
L2377	726	0	0
L2378	727	1	0
L2380	728	1	0
L2381	729	0	0
L2386	730	1	0
L2387	731	1	0
L2388	732	0	0
L2390	733	0	0
L2391	734	0	0
L2392	735	1	0
L2393	736	0	0
L2398	737	0	0
L2403	738	0	0
L2404	739	0	0
L2405	740	0	0
L2408	741	0	0
L2409	742	0	0
L2411	743	0	0
L2415	744	0	0
L2419	745	0	0
L2420	746	0	0
L2421	747	0	0
L2422	748	0	0
L2424	749	0	0
L2426	750	0	0
L2429	751	0	0
L2434	752	1	0
L2437	753	0	0
L2439	754	0	0
L2447	755	0	0
L2448	756	1	0
L2451	757	0	0
L2455	758	1	0
L2456	759	0	0
L2458	760	0	0
L2460	761	1	0
L2467	762	0	0
L2468	763	0	0
L2473	764	0	0
L2475	765	0	0
L2477	766	0	0
L2478	767	0	0
L2480	768	1	0
L2481	769	0	0
L2483	770	0	0
L2484	771	0	0
L2486	772	1	0
L2493	773	0	0
L2500	774	0	0
L2504	775	0	0
L2507	776	0	0
L2509	777	0	0
L2511	778	1	0
L2512	779	0	0
L2514	780	0	0
L2517	781	0	0
L2518	782	1	0
L2524	783	0	0
L2525	784	0	0
L2526	785	1	0
L2530	786	0	0
L2531	787	0	0
L2535	788	0	0
L2536	789	0	0
L2539	790	0	0
L2540	791	0	0
L2541	792	0	0
L2545	793	0	0
L2548	794	0	0
L2554	795	1	0
L2558	796	1	0
L2559	797	1	0
L2560	798	0	0
L2567	799	0	0
L2569	800	0	0
L2571	801	0	0
L2577	802	1	0
L2579	803	0	0
L2580	804	0	0
L2581	805	1	0
L2582	806	0	0
L2583	807	0	0
L2587	808	0	0
L2589	809	0	0
L2592	810	1	0
L2595	811	1	0
L2596	812	0	0
L2597	813	1	0
L2599	814	1	0
L2604	815	1	0
L2608	816	0	0
L2611	817	1	0
L2617	818	0	0
L2618	819	0	0
L2619	820	0	0
L2625	821	0	0
L2626	822	1	0
L2630	823	1	0
L2632	824	1	0
L2634	825	0	0
L2636	826	1	0
L2638	827	0	0
L2640	828	0	0
L2641	829	0	0
L2644	830	0	0
L2646	831	1	0
L2650	832	0	0
L2651	833	0	0
L2652	834	1	0
L2653	835	1	0
L2654	836	1	0
L2655	837	1	0
L2659	838	1	0
L2660	839	1	0
L2661	840	1	0
L2662	841	0	0
L2664	842	1	0
L2666	843	0	0
L2673	844	1	0
L2679	845	0	0
L2683	846	0	0
L2684	847	0	0
L2696	848	0	0
L2700	849	1	0
L2702	850	0	0
L2703	851	0	0
L2707	852	0	0
L2708	853	0	0
L2709	854	1	0
L2714	855	0	0
L2715	856	1	0
L2716	857	0	0
L2720	858	0	0
L2721	859	1	0
L2731	860	0	0
L2737	861	0	0
L2743	862	0	0
L2746	863	0	0
L2747	864	0	0
L2749	865	0	0
L2753	866	0	0
L2757	867	0	0
L2762	868	0	0
L2765	869	1	0
L2772	870	1	0
L2776	871	1	0
L2777	872	0	0
L2779	873	1	0
L2780	874	0	0
L2781	875	0	0
L2784	876	0	0
L2786	877	0	0
L2790	878	0	0
L2791	879	1	0
L2797	880	0	0
L2799	881	0	0
L2800	882	0	0
L2801	883	0	0
L2805	884	1	0
L2808	885	0	0
L2809	886	0	0
L2810	887	0	0
L2815	888	1	0
L2817	889	0	0
L2818	890	0	0
L2822	891	0	0
L2824	892	0	0
L2826	893	1	0
L2831	894	1	0
L2832	895	0	0
L2833	896	0	0
L2839	897	1	0
L2841	898	1	0
L2845	899	0	0
L2847	900	1	0
L2849	901	0	0
L2850	902	0	0
L2851	903	0	0
L2857	904	1	0
L2860	905	0	0
L2861	906	0	0
L2862	907	0	0
L2866	908	1	0
L2873	909	0	0
L2874	910	0	0
L2875	911	0	0
L2880	912	1	0
L2881	913	0	0
L2882	914	0	0
L2886	915	0	0
L2893	916	0	0
L2897	917	0	0
L2899	918	0	0
L2900	919	1	0
L2903	920	0	0
L2904	921	0	0
L2908	922	0	0
L2910	923	1	0
L2912	924	0	0
L2919	925	0	0
L2920	926	0	0
L2926	927	0	0
L2928	928	0	0
L2930	929	0	0
L2931	930	0	0
L2932	931	0	0
L2933	932	0	0
L2937	933	1	0
L2938	934	0	0
L2940	935	1	0
L2944	936	0	0
L2945	937	0	0
L2946	938	0	0
L2948	939	0	0
L2959	940	1	0
L2961	941	0	0
L2971	942	0	0
L2972	943	0	0
L2973	944	0	0
L2974	945	1	0
L2975	946	0	0
L2977	947	1	0
L2984	948	0	0
L2990	949	0	0
L2995	950	0	0
L2997	951	0	0
L3003	952	0	0
L3018	953	0	0
L3019	954	0	0
L3023	955	1	0
L3025	956	0	0
L3030	957	0	0
L3031	958	1	0
L3033	959	1	0
L3036	960	0	0
L3037	961	0	0
L3043	962	0	0
L3047	963	0	0
L3048	964	0	0
L3050	965	1	0
L3053	966	1	0
L3054	967	0	0
L3057	968	0	0
L3058	969	0	0
L3060	970	0	0
L3064	971	0	0
L3067	972	0	0
L3075	973	0	0
L3078	974	1	0
L3080	975	0	0
L3082	976	0	0
L3090	977	1	0
L3096	978	1	0
L3098	979	0	0
L3100	980	0	0
L3103	981	0	0
L3104	982	0	0
L3105	983	0	0
L3110	984	0	0
L3113	985	1	0
L3115	986	0	0
L3118	987	0	0
L3119	988	0	0
L3120	989	0	0
L3124	990	0	0
L3128	991	0	0
L3131	992	0	0
L3132	993	0	0
L3139	994	0	0
L3140	995	0	0
L3143	996	0	0
L3145	997	0	0
L3146	998	0	0
L3148	999	0	0
L3150	1000	0	0
L3151	1001	1	0
L3154	1002	0	0
L3155	1003	0	0
L3156	1004	1	0
L3158	1005	0	0
L3159	1006	0	0
L3166	1007	1	0
L3171	1008	0	0
L3173	1009	0	0
L3175	1010	0	0
L3180	1011	1	0
L3181	1012	0	0
L3182	1013	1	0
L3185	1014	0	0
L3186	1015	1	0
L3187	1016	0	0
L3188	1017	0	0
L3192	1018	1	0
L3193	1019	0	0
L3194	1020	1	0
L3197	1021	0	0
L3202	1022	0	0
L3204	1023	0	0
L3206	1024	0	0
L3209	1025	0	1
L3211	1026	0	0
L3212	1027	0	0
L3214	1028	0	0
L3217	1029	0	0
L3218	1030	0	0
L3219	1031	0	0
L3221	1032	0	0
L3223	1033	0	0
L3224	1034	0	0
L3225	1035	0	0
L3227	1036	0	0
L3231	1037	1	0
L3233	1038	0	0
L3238	1039	0	0
L3241	1040	0	0
L3243	1041	0	0
L3244	1042	0	0
L3245	1043	0	0
L3251	1044	0	0
L3252	1045	1	0
L3257	1046	0	0
L3258	1047	0	0
L3263	1048	1	0
L3268	1049	1	0
L3269	1050	0	0
L3271	1051	0	0
L3277	1052	0	0
L3282	1053	0	0
L3283	1054	0	0
L3284	1055	0	0
L3285	1056	0	0
L3295	1057	0	0
L3296	1058	0	0
L3297	1059	0	0
L3300	1060	0	0
L3303	1061	0	0
L3304	1062	0	0
L3307	1063	0	0
L3313	1064	0	0
L3316	1065	0	0
L3317	1066	0	0
L3320	1067	0	0
L3321	1068	1	0
L3323	1069	0	0
L3328	1070	0	0
L3329	1071	0	0
L3330	1072	0	0
L3336	1073	1	0
L3337	1074	0	0
L3338	1075	1	0
L3339	1076	0	0
L3340	1077	0	0
L3343	1078	0	0
L3347	1079	0	0
L3352	1080	0	0
L3361	1081	0	0
L3364	1082	0	0
L3374	1083	0	0
L3378	1084	0	0
L3380	1085	1	0
L3385	1086	0	0
L3388	1087	0	0
L3390	1088	0	0
L3391	1089	0	0
L3392	1090	0	0
L3393	1091	0	0
L3396	1092	0	0
L3397	1093	0	0
L3400	1094	0	0
L3401	1095	0	0
L3403	1096	0	0
L3405	1097	0	0
L3409	1098	0	0
L3416	1099	0	0
L3417	1100	0	0
L3419	1101	0	0
L3422	1102	0	0
L3436	1103	0	0
L3437	1104	1	0
L3440	1105	0	0
L3446	1106	0	0
L3448	1107	0	0
L3453	1108	1	0
L3454	1109	0	0
L3455	1110	0	0
L3457	1111	0	0
L3460	1112	1	0
L3463	1113	1	0
L3466	1114	0	0
L3471	1115	0	0
L3473	1116	0	0
L3475	1117	0	0
L3479	1118	1	0
L3485	1119	1	0
L3486	1120	1	0
L3488	1121	1	0
L3490	1122	1	0
L3491	1123	0	0
L3498	1124	0	0
L3500	1125	0	0
L3505	1126	0	0
L3508	1127	0	0
L3512	1128	1	0
L3516	1129	0	0
L3517	1130	0	0
L3518	1131	0	0
L3529	1132	0	0
L3530	1133	0	0
L3534	1134	0	0
L3539	1135	0	0
L3543	1136	0	0
L3546	1137	1	0
L3548	1138	0	0
L3550	1139	1	0
L3554	1140	1	0
L3558	1141	1	0
L3560	1142	0	0
L3563	1143	1	0
L3564	1144	1	0
L3565	1145	1	0
L3569	1146	0	0
L3581	1147	0	0
L3582	1148	0	0
L3583	1149	0	0
L3585	1150	1	0
L3595	1151	0	0
L3596	1152	0	0
L3598	1153	0	0
L3599	1154	0	0
L3605	1155	1	0
L3607	1156	0	0
L3609	1157	0	0
L3610	1158	0	0
L3615	1159	1	0
L3617	1160	0	0
L3619	1161	0	0
L3621	1162	0	0
L3623	1163	1	0
L3626	1164	0	0
L3628	1165	0	0
L3629	1166	0	0
L3634	1167	0	0
L3639	1168	0	0
L3640	1169	0	0
L3642	1170	1	0
L3646	1171	0	0
L3647	1172	1	0
L3650	1173	0	0
L3652	1174	1	0
L3654	1175	0	0
L3655	1176	0	0
L3656	1177	1	0
L3660	1178	1	0
L3663	1179	0	0
L3664	1180	0	0
L3666	1181	0	0
L3669	1182	0	0
L3670	1183	1	0
L3672	1184	0	0
L3673	1185	0	0
L3679	1186	0	0
L3680	1187	0	0
L3681	1188	1	0
L3683	1189	1	0
L3685	1190	1	0
L3687	1191	1	0
L3691	1192	0	0
L3696	1193	0	0
L3699	1194	0	0
L3717	1195	0	0
L3718	1196	0	0
L3726	1197	1	0
L3728	1198	0	0
L3731	1199	0	0
L3736	1200	0	0
L3737	1201	0	0
L3742	1202	0	0
L3744	1203	0	0
L3749	1204	0	0
L3750	1205	0	0
L3753	1206	1	0
L3760	1207	0	0
L3762	1208	1	0
L3763	1209	1	0
L3767	1210	0	0
L3770	1211	0	0
L3774	1212	0	0
L3779	1213	0	0
L3780	1214	0	0
L3782	1215	0	0
L3786	1216	0	0
L3796	1217	1	0
L3798	1218	0	0
L3799	1219	0	0
L3803	1220	0	0
L3808	1221	0	0
L3809	1222	0	0
L3810	1223	0	0
L3811	1224	0	0
L3812	1225	0	0
L3815	1226	0	0
L3822	1227	0	0
L3824	1228	1	0
L3826	1229	0	0
L3827	1230	1	0
L3831	1231	1	0
L3834	1232	0	0
L3840	1233	0	0
L3851	1234	0	0
L3854	1235	0	0
L3861	1236	1	0
L3863	1237	0	0
L3864	1238	0	0
L3865	1239	0	0
L3869	1240	1	0
L3871	1241	0	0
L3872	1242	0	0
L3874	1243	0	0
L3877	1244	0	0
L3879	1245	0	0
L3880	1246	1	0
L3882	1247	0	0
L3886	1248	0	0
L3892	1249	1	0
L3894	1250	1	0
L3896	1251	0	0
L3901	1252	1	0
L3905	1253	1	0
L3907	1254	0	0
L3910	1255	1	0
L3911	1256	1	0
L3919	1257	0	0
L3920	1258	1	0
L3921	1259	0	0
L3922	1260	0	0
L3923	1261	0	0
L3924	1262	0	0
L3929	1263	0	0
L3936	1264	0	0
L3937	1265	1	0
L3938	1266	1	0
L3941	1267	1	0
L3943	1268	0	0
L3944	1269	1	0
L3946	1270	1	0
L3947	1271	0	0
L3948	1272	0	0
L3949	1273	0	0
L3955	1274	0	0
L3957	1275	0	0
L3958	1276	1	0
L3961	1277	0	0
L3962	1278	0	0
L3963	1279	0	0
L3969	1280	0	0
L3970	1281	0	0
L3973	1282	0	0
L3976	1283	0	0
L3978	1284	0	0
L3981	1285	0	0
L3987	1286	0	0
L3990	1287	0	0
L3993	1288	1	0
L3994	1289	0	0
L3995	1290	0	0
L3996	1291	1	0
L4001	1292	0	0
L4002	1293	0	0
L4003	1294	0	0
L4007	1295	0	0
L4008	1296	0	0
L4012	1297	1	0
L4013	1298	0	0
L4015	1299	0	0
L4023	1300	0	0
L4024	1301	0	0
L4025	1302	0	0
L4027	1303	1	0
L4028	1304	1	0
L4034	1305	0	0
L4036	1306	1	0
L4037	1307	0	0
L4040	1308	0	0
L4042	1309	0	0
L4044	1310	0	0
L4046	1311	0	0
L4048	1312	0	0
L4049	1313	0	0
L4050	1314	0	0
L4051	1315	0	0
L4059	1316	0	0
L4064	1317	0	0
L4066	1318	0	0
L4067	1319	0	0
L4072	1320	0	0
L4073	1321	0	0
L4075	1322	0	0
L4082	1323	0	0
L4084	1324	0	0
L4087	1325	0	0
L4091	1326	0	0
L4093	1327	0	0
L4094	1328	0	0
L4095	1329	0	0
L4096	1330	0	0
L4099	1331	0	0
L4106	1332	0	0
L4108	1333	0	0
L4109	1334	0	0
L4112	1335	0	0
L4120	1336	0	0
L4127	1337	0	0
L4129	1338	0	0
L4130	1339	0	0
L4131	1340	0	0
L4136	1341	0	0
L4139	1342	0	0
L4145	1343	0	0
L4146	1344	0	0
L4148	1345	1	0
L4149	1346	0	0
L4150	1347	0	0
L4151	1348	0	0
L4152	1349	0	0
L4153	1350	0	0
L4156	1351	0	0
L4166	1352	0	0
L4169	1353	0	0
L4171	1354	0	0
L4176	1355	0	0
L4177	1356	1	0
L4184	1357	0	0
L4185	1358	0	0
L4188	1359	0	0
L4189	1360	0	0
L4191	1361	1	0
L4192	1362	0	0
L4196	1363	0	0
L4202	1364	0	0
L4203	1365	0	0
L4204	1366	0	0
L4205	1367	0	0
L4207	1368	1	0
L4209	1369	0	0
L4210	1370	1	0
L4213	1371	0	0
L4214	1372	0	0
L4216	1373	0	0
L4218	1374	0	0
L4219	1375	1	0
L4224	1376	0	0
L4225	1377	0	0
L4226	1378	1	0
L4234	1379	0	0
L4238	1380	0	0
